Година,Валеж (mm),Максимален денонощен валеж (mm),Максимална височина на снежната покривка (cm),Температура на въздуха (°C)
1988,579,197.5,60,11.9
1989,546,164.0,44,12.4
1990,459,135.5,38,11.8
1991,641,182.0,45,10.6
1992,456,138.0,33,11.7
1993,475,92.4,50,11.6
1994,528,263.0,31,13.0
1995,697,135.4,64,11.2
1996,599,122.2,44,11.0
1997,662,110.6,55,11.3
1998,678,157.6,61,12.1
1999,633,268.5,54,12.1
2000,377,160.0,65,12.4
2001,549,100.5,62,12.3
2002,743,158.0,55,11.9
2003,600,176.0,47,11.4
2004,604,136.0,36,11.6
2005,924,288.0,70,11.1
2006,597,300.8,43,11.5
2007,696,291.0,32,12.6
2008,502,224.0,39,12.5
2009,681,132.0,52,12.3
2010,807,200.9,49,12.1
2011,507,124.6,32,11.3
2012,657,215.2,88,12.4
2013,606,164.4,31,12.5
2014,1013,245.0,24,12.3
2015,689,209.5,72,12.7
2016,621,273.1,33,12.6
2017,705,198.0,52,12.3
2018,711,133.6,39,12.6
2019,529,197.4,38,13.3
2020,574.0,168.0,41.0,13.0
2021,741.0,159.7,43.0,12.3
2022,492.0,164.0,39.0,12.8
2023,615.0,207.2,35.0,13.6