Година,CO2 (Gg),CH4 (Gg),N2O (Gg),HFCs (Gg),PFCs (Gg),SF6 (Gg),Общи емисии (Gg CO2-eqv),Намаление спрямо 1988 (%)
1988,89563.57,15188.55,8886.77,0.00,0.00,3.40,113642.29,0
1990,76637.95,14629.72,7647.43,0.00,0.00,3.81,98918.90,-12.96
1991,61520.71,13461.01,5930.77,0.00,0.00,4.03,80916.52,-28.80
1992,57355.64,13070.27,4953.33,0.01,0.00,4.26,75383.52,-33.67
1993,58389.17,11820.45,4483.45,0.02,0.00,4.51,74697.60,-34.27
1994,56382.56,9832.68,4409.01,1.00,0.00,4.77,70630.02,-37.85
1995,57916.56,9967.32,4293.68,3.03,0.00,5.05,72185.64,-36.48
1996,58460.40,9972.57,4181.97,5.31,0.00,5.34,72625.60,-36.09
1997,55806.19,9617.61,3971.02,8.44,0.00,5.65,69408.91,-38.92
1998,53113.84,8997.94,3235.57,12.72,0.00,5.98,65366.05,-42.48
1999,46371.32,8566.01,3374.52,19.67,0.00,6.32,58337.85,-48.67
2000,45499.31,8494.93,3449.80,32.69,0.00,6.69,57483.42,-49.42
2001,49019.64,7776.48,3527.08,46.23,0.00,7.08,60376.51,-46.87
2002,46141.04,8114.53,3458.71,60.95,0.00,7.49,57782.72,-49.15
2003,50491.21,8810.48,3286.94,77.95,0.00,7.92,62674.50,-44.85
2004,49537.29,8330.23,3822.58,104.74,0.00,8.38,61803.21,-45.62
2005,50600.36,7899.55,3659.73,166.28,0.00,8.42,62334.33,-45.15
2006,51837.49,7753.82,3245.68,245.36,0.00,8.74,63091.10,-44.48
2007,55669.22,7725.95,3251.76,282.32,0.00,9.08,66938.34,-41.10
2008,54025.91,7660.99,3475.51,425.74,0.02,9.44,65597.62,-42.28
2009,45750.25,7399.66,3123.93,418.15,0.06,9.81,56701.85,-50.10
2010,47815.70,7546.15,3556.35,414.21,0.10,19.34,59351.85,-47.77
2011,53120.46,7872.80,3255.77,467.76,0.10,17.49,64734.39,-43.04
2012,48276.56,7558.22,3326.30,483.00,0.01,16.59,59660.68,-47.50
2013,42582.99,7438.04,3663.35,539.34,0.01,21.05,54244.77,-52.27
2014,45169.06,7391.78,4073.85,609.02,0.01,17.40,57261.10,-49.61
2015,48127.12,7428.86,4167.09,681.81,0.00,18.62,60423.52,-46.83
2016,45343.75,7255.39,4460.75,713.25,0.00,19.32,57792.46,-49.15
2017,47445.84,7115.75,4291.11,713.75,0.00,18.05,59584.50,-47.57
2018,43503.33,6781.29,4204.53,718.95,0.00,18.54,55226.64,-51.40
2019,42194.98,6492.92,4431.31,781.08,0.00,18.82,53919.12,-52.55
2020,36571.03,6384.02,4182.05,767.48,0.00,20.45,47925.02,-57.83
2021,42365.03,6582.92,4298.80,763.45,0.00,23.27,54033.48,-52.45
2022,46931.79,6545.14,4218.81,676.46,0.00,23.96,58396.17,-48.61
2023,34500.95,5987.40,4225.54,631.39,0.00,19.64,45364.92,-60.08