Показатели,Средномногогодишен отток (1981-2023),2017,2018,2019,2020,2021,2022,2023
Валежи,73149,84411,85254,63437,67783,89899,61587,76717
Действителна евапотранспирация,57419,70207,61106.6,51916.5,57902,70174,48834,64776
Вътрешен отток,15729,14204,24147.4,11520.5,9881,19725,12753,11941
Действителен външен приток,83712,67891,75944.5,73349.2,69996,79673,62173,94714
в т.ч. р. Дунав,83349,67582,75466.6,73068.9,69753,79203,61889,94339
Общ действителен отток,101766,84511,105460.5,88469.1,80945,100262,73613,105723
в т.ч. в морето,1670,2104,3373.7,1062.4,511,1372,1207,842
в т.ч. към съседни територии,100095,82407,102086.8,87406.7,80434,98890,72406,104881
в т.ч. р. Дунав,85674,69998,80835.2,76668.3,70821,80067,60576,93408
Общо възобновяеми пресни водни ресурси,99441,82095,100091.9,84869.7,79877,99398,74926,106655.8
Подхранване във водоносния слой,5864,,,,,,,
Налични подземни води (достъпни за годишно използване),5409,,,,,,,
Постоянни ресурси от прясна вода (95% обезпеченост),70148,,,,,,,